zipcode,borough,neighborhood,
11211,Brooklyn,Greenpoint,
11211,Brooklyn,Williamsburg,
11212,Brooklyn,Brownsville,
11213,Brooklyn,Greenpoint,
11214,Brooklyn,Bensonhurst,
11214,Brooklyn,Bath Beach,
11215,Brooklyn,Windsor Terrace,
11215,Brooklyn,Park Slope,
11216,Brooklyn,Crown Heights,
11216,Brooklyn,Bedford-Stuyvesant,
11217,Brooklyn,Boerum Hill,
11217,Brooklyn,Greenpoint,
11217,Brooklyn,Park Slope,
11218,Brooklyn,Windsor Terrace,
11218,Brooklyn,Borough Park,
11219,Brooklyn,Williamsburg,
11219,Brooklyn,Borough Park,
11220,Brooklyn,Sunset Park,
11221,Brooklyn,Bedford-Stuyvesant,
11221,Brooklyn,Bushwick,
11222,Brooklyn,Greenpoint,
11223,Brooklyn,Gravesend,
11223,Brooklyn,Midwood,
11224,Brooklyn,Coney Island,
11225,Brooklyn,Prospect Lefferts Gardens,
11225,Brooklyn,Crown Heights,
11226,Brooklyn,Prospect Park South,
11226,Brooklyn,Flatbush,
11228,Brooklyn,Dyker Heights,
11229,Brooklyn,Sheepshead Bay,
11230,Brooklyn,Ditmas Park,
11230,Brooklyn,Midwood,
11231,Brooklyn,Carroll Gardens,
11232,Brooklyn,Sunset Park,
11232,Brooklyn,Greenwood,
11233,Brooklyn,Bedford-Stuyvesant,
11234,Brooklyn,Bergen Beach,
11234,Brooklyn,East Flatbush,
11235,Brooklyn,Brighton Beach,
11235,Brooklyn,Sheepshead Bay,
11236,Brooklyn,Canarsie,
11237,Brooklyn,Bushwick,
11238,Brooklyn,Prospect Heights,
11239,Brooklyn,East New York,
11354,Queens,Flushing,
11355,Queens,Flushing,
11356,Queens,College Point,
11357,Queens,Whitestone,
11358,Queens,Flushing,
11360,Queens,Bayside,
11361,Queens,Bayside,
11362,Queens,Douglaston,
11363,Queens,Douglaston,
11364,Queens,Oakland Gardens,
11364,Queens,Bayside,
11365,Queens,Fresh Meadows,
11366,Queens,Utopia,
11367,Queens,Kew Gardens Hill,
11368,Queens,North Corona,
11368,Queens,Corona,
11369,Queens,East Elmhurst,
11369,Queens,Jackson Heights,
11370,Queens,Jackson Heights,
11372,Queens,Jackson Heights,
11373,Queens,Elmhurst,
11374,Queens,Rego Park,
11375,Queens,Forest Hills,
11377,Queens,Woodside,
11378,Queens,Maspeth,
11379,Queens,Middle Village,
11385,Queens,Ridgewood,
11411,Queens,Cambria Heights,
11412,Queens,St.Albans,
11413,Queens,Springfield Gardens,
11414,Queens,Howard Beach,
11415,Queens,Kew Gardens,
11416,Queens,Ozone Park,
11417,Queens,Ozone Park,
11418,Queens,Richmond Hill,
11419,Queens,South Richmond Hill,
11420,Queens,South Ozone Park,
11421,Queens,Woodhaven,
11422,Queens,Rosedale,
11423,Queens,Hollis,
11426,Queens,Bellerose,
11427,Queens,Queens Village,
11428,Queens,Queens Village,
11429,Queens,Queens Village,
11432,Queens,Jamaica,
11433,Queens,Jamaica,
11434,Queens,South Jamaica,
11435,Queens,South Jamaica,
11436,Queens,South Jamaica,
11434,Queens,Jamaica,
11435,Queens,Jamaica,
11436,Queens,Jamaica,
11691,Queens,Rockaway All,
11692,Queens,Rockaway All,
11693,Queens,Rockaway All,
11694,Queens,Rockaway All,
11697,Queens,Rockaway All,
