,zipcode,bd,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10
10,10003,2.0,5240.666666666667,5131.666666666667,5164.0,5370.666666666667,5512.666666666667,5548.333333333333,5683.333333333333,5765.0,5633.333333333333,5553.0,5596.0,5466.666666666667,5348.333333333333,5315.0,5361.333333333333,5537.666666666667,5632.0,5734.666666666667,5908.333333333333,5777.0,5644.666666666667,5578.666666666667,5576.333333333333,5016.666666666667,4649.333333333333,4540.333333333333,4578.333333333333,4659.666666666667,4616.666666666667
11,10003,3.0,7543.333333333333,7640.0,8495.666666666666,9197.0,10268.333333333334,11946.0,10266.666666666666,10100.0,11925.666666666666,11550.0,8371.666666666666,8450.0,8431.666666666666,8986.666666666666,8937.333333333334,9586.666666666666,9956.0,11352.0,11061.666666666666,10886.0,10215.0,9333.333333333334,10626.333333333334,8658.333333333334,8236.0,8116.0,7338.333333333333,7065.0,7100.0
12,10004,0.0,3005.0,3093.5,3206.5,3175.0,3087.5,2942.0,2920.5,3042.5,3072.5,3127.0,3137.5,3164.0,3150.0,3276.0,3272.5,3173.5,3159.0,3109.5,3109.5,3192.5,3161.5,3145.0,3090.5,2960.5,2750.5,2625.0,2547.5,2595.5,2614.0
13,10004,1.0,3800.0,3996.5,3967.0,3900.0,3867.5,3887.5,3860.0,3848.0,3997.0,3966.0,4000.5,4072.5,4083.0,4039.0,4011.0,3975.5,3919.0,4084.5,4005.0,3912.5,3961.0,3925.0,3895.5,3711.0,3529.5,3440.0,3366.0,3412.5,3430.0
14,10004,2.0,6136.5,6129.5,6081.0,5778.0,5899.0,5825.0,5810.0,6129.0,6038.0,6044.0,6125.0,6155.5,6429.0,6206.0,6120.0,5988.0,5848.0,5968.5,5921.0,5940.0,6019.0,6154.0,6019.5,5924.0,5784.5,5760.0,5709.5,5765.0,5725.0
15,10004,3.0,9725.0,9744.0,9297.5,9225.0,9208.5,9250.0,8875.0,9104.5,10144.0,9903.5,9111.5,8937.5,8650.0,8450.0,8291.5,7909.0,8249.0,8198.0,8700.0,9180.0,9000.0,9685.5,8653.0,8450.0,8384.0,8359.5,8307.5,8472.5,8362.5
16,10005,0.0,2920.0,3027.0,3063.0,3000.0,2975.0,2931.0,2933.0,2935.0,2995.0,3028.0,3100.0,3153.0,3150.0,3169.0,3150.0,3084.0,3100.0,3119.0,3091.0,3112.0,3050.0,2995.0,2928.0,2846.0,2700.0,2645.0,2500.0,2430.0,2500.0
17,10005,1.0,3950.0,4050.0,3991.0,3995.0,3985.0,4000.0,3965.0,4031.0,4008.0,3969.0,4078.0,4195.0,4056.0,4078.0,4022.0,3978.0,3940.0,4015.0,4015.0,4000.0,4022.0,3950.0,3891.0,3766.0,3650.0,3495.0,3432.0,3450.0,3500.0
18,10005,2.0,5350.0,5409.0,5262.0,5180.0,5348.0,5160.0,5100.0,5345.0,5276.0,5275.0,5500.0,5486.0,5495.0,5600.0,5375.0,5274.0,4996.0,5137.0,5076.0,5142.0,5300.0,5108.0,5141.0,5000.0,4769.0,4770.0,4675.0,4900.0,4950.0
19,10005,3.0,6750.0,6788.0,6095.0,6450.0,6417.0,6500.0,6500.0,6084.0,6475.0,6857.0,6223.0,6000.0,6000.0,6300.0,6033.0,5843.0,5598.0,5446.0,6500.0,6400.0,5500.0,6871.0,7306.0,6600.0,6268.0,5769.0,5640.0,5995.0,5775.0
20,10006,0.0,2920.0,3027.0,3063.0,3000.0,2975.0,2931.0,2933.0,2935.0,2995.0,3028.0,3100.0,3153.0,3150.0,3169.0,3150.0,3084.0,3100.0,3119.0,3091.0,3112.0,3050.0,2995.0,2928.0,2846.0,2700.0,2645.0,2500.0,2430.0,2500.0
21,10006,1.0,3950.0,4050.0,3991.0,3995.0,3985.0,4000.0,3965.0,4031.0,4008.0,3969.0,4078.0,4195.0,4056.0,4078.0,4022.0,3978.0,3940.0,4015.0,4015.0,4000.0,4022.0,3950.0,3891.0,3766.0,3650.0,3495.0,3432.0,3450.0,3500.0
22,10006,2.0,5350.0,5409.0,5262.0,5180.0,5348.0,5160.0,5100.0,5345.0,5276.0,5275.0,5500.0,5486.0,5495.0,5600.0,5375.0,5274.0,4996.0,5137.0,5076.0,5142.0,5300.0,5108.0,5141.0,5000.0,4769.0,4770.0,4675.0,4900.0,4950.0
23,10006,3.0,6750.0,6788.0,6095.0,6450.0,6417.0,6500.0,6500.0,6084.0,6475.0,6857.0,6223.0,6000.0,6000.0,6300.0,6033.0,5843.0,5598.0,5446.0,6500.0,6400.0,5500.0,6871.0,7306.0,6600.0,6268.0,5769.0,5640.0,5995.0,5775.0
24,10007,0.0,3870.0,3603.0,4095.0,4420.0,4343.0,4470.0,3900.0,3857.0,3850.0,3655.0,3665.0,3875.0,4083.0,4045.0,4050.0,4275.0,4325.0,4225.0,3870.0,3595.0,3570.0,3418.0,3364.0,3364.0,3450.0,3475.0,3315.0,3295.0,3235.0
25,10007,1.0,4673.0,4500.0,4598.0,4795.0,4900.0,4798.0,4795.0,4698.0,4513.0,4695.0,4695.0,4895.0,4795.0,5030.0,4995.0,5285.0,5085.0,5293.0,5400.0,5113.0,5125.0,4998.0,4995.0,4985.0,5095.0,4900.0,4850.0,4800.0,4500.0
26,10007,2.0,7695.0,7875.0,8000.0,7850.0,8050.0,8700.0,8332.0,8050.0,8025.0,7800.0,7725.0,7138.0,7000.0,7600.0,7400.0,7750.0,8255.0,7950.0,9250.0,9500.0,8500.0,8250.0,7620.0,8025.0,8000.0,7750.0,7750.0,7619.0,7995.0
27,10007,3.0,13950.0,13998.0,14968.0,13950.0,14992.0,15500.0,15500.0,15244.0,15494.0,14875.0,14875.0,14625.0,16500.0,18275.0,18110.0,17500.0,18263.0,18036.0,18304.0,18036.0,17725.0,18036.0,16558.0,16250.0,15975.0,14995.0,14500.0,15000.0,15625.0
28,10009,0.0,2295.0,2278.0,2295.0,2213.0,2150.0,2195.0,2199.0,2350.0,2275.0,2175.0,2295.0,2325.0,2383.0,2375.0,2300.0,2395.0,2300.0,2300.0,2300.0,2350.0,2375.0,2363.0,2300.0,2200.0,2199.0,2102.0,2049.0,1975.0,1992.0
29,10009,1.0,3050.0,3172.0,3145.0,3180.0,3179.5,3006.0,3123.5,3126.0,3133.0,3158.0,3251.0,3287.5,3272.0,3346.0,3258.5,3342.5,3313.0,3356.0,3269.5,3331.0,3413.5,3376.0,3316.5,3175.5,3158.5,3127.5,2871.5,2829.5,2969.5
30,10009,2.0,3646.0,3600.0,3600.0,3595.0,3600.0,3650.0,3537.0,3500.0,3600.0,3613.0,3613.0,3600.0,3695.0,3700.0,3664.0,3690.0,3685.0,3795.0,3700.0,3698.0,3753.0,3500.0,3550.0,3500.0,3399.0,3200.0,3095.0,3000.0,2850.0
31,10009,3.0,5095.0,5025.0,5000.0,4995.0,4855.0,4838.0,4800.0,4800.0,4800.0,4900.0,5165.0,5450.0,5300.0,5200.0,5400.0,5300.0,5100.0,5100.0,5650.0,5448.0,5395.0,5500.0,5381.0,5000.0,4960.0,4600.0,4295.0,4200.0,4000.0
32,10010,0.0,3025.0,3037.5,3079.0,3153.0,2975.0,2999.0,2937.5,2944.0,3137.5,3111.0,3102.0,3150.5,3172.5,3223.0,3115.0,3100.0,3083.0,2956.5,3046.0,3080.0,3175.0,3016.0,2874.5,2818.0,2740.0,2652.0,2596.5,2530.0,2518.5
33,10010,1.0,3750.0,3833.0,3820.6666666666665,3870.0,3892.3333333333335,3780.6666666666665,3922.3333333333335,3888.3333333333335,3969.6666666666665,4027.3333333333335,4079.6666666666665,4141.666666666667,4161.333333333333,4205.666666666667,4153.0,4195.0,4055.3333333333335,4045.0,4015.3333333333335,4073.6666666666665,4112.333333333333,4107.333333333333,3858.6666666666665,3717.0,3704.3333333333335,3661.0,3531.0,3488.0,3584.6666666666665
34,10010,2.0,5698.0,5445.0,5497.0,5781.0,5867.5,5935.5,6177.5,6179.5,6093.0,5736.5,5537.5,5672.5,5772.5,5721.5,5512.5,5675.0,5740.5,5992.0,6428.0,6520.0,6297.5,5871.5,5782.0,5300.0,5030.0,4927.0,4820.0,4874.5,4912.0
35,10010,3.0,7005.0,7816.5,8596.0,8210.5,7772.5,9000.0,8895.0,9337.5,8988.5,9322.5,6649.0,6947.5,7397.5,8877.5,8906.0,9030.0,9378.0,8453.0,9583.0,9788.0,7997.5,8897.5,7675.0,7137.5,7547.5,7405.5,7121.5,7110.0,7000.0
36,10011,0.0,2924.6666666666665,2938.3333333333335,2956.6666666666665,2985.3333333333335,2891.3333333333335,2924.3333333333335,2962.0,2911.3333333333335,3080.0,3062.0,3070.3333333333335,3046.6666666666665,3078.3333333333335,3158.6666666666665,3118.3333333333335,3097.3333333333335,3059.0,3036.0,3102.3333333333335,3068.3333333333335,3098.6666666666665,3083.6666666666665,2942.3333333333335,2823.0,2715.3333333333335,2585.0,2506.0,2460.0,2449.6666666666665
37,10011,1.0,3937.3333333333335,3916.0,3987.6666666666665,4053.3333333333335,3979.3333333333335,3927.3333333333335,4069.3333333333335,4123.666666666667,4212.666666666667,4183.0,4181.666666666667,4249.333333333333,4322.333333333333,4323.666666666667,4301.0,4219.0,4170.666666666667,4146.666666666667,4102.666666666667,4091.6666666666665,4148.666666666667,4154.333333333333,3977.6666666666665,3798.6666666666665,3651.6666666666665,3500.0,3424.6666666666665,3386.0,3405.6666666666665
38,10011,2.0,5800.333333333333,5596.666666666667,5683.0,5919.666666666667,6055.666666666667,6108.333333333333,6334.666666666667,6333.333333333333,6185.333333333333,5932.666666666667,5891.666666666667,5965.0,5940.0,5746.666666666667,5890.666666666667,5897.0,5932.0,6044.666666666667,6288.333333333333,6228.666666666667,6074.333333333333,6088.333333333333,5939.0,5534.333333333333,5192.0,5047.0,4967.666666666667,5045.0,5100.0
39,10011,3.0,6931.0,7498.333333333333,8080.666666666667,7823.333333333333,7633.333333333333,9244.333333333334,9221.0,9324.333333333334,9142.333333333334,9166.0,6582.0,6775.0,7253.666666666667,8353.333333333334,8195.0,8857.666666666666,9506.0,8583.333333333334,9299.333333333334,9170.0,9416.0,9750.0,8333.333333333334,6755.0,6994.0,6816.0,6615.0,6865.0,6863.666666666667
40,10012,0.0,2400.0,2431.0,2488.3333333333335,2506.3333333333335,2464.3333333333335,2448.3333333333335,2433.3333333333335,2573.0,2446.6666666666665,2524.3333333333335,2908.3333333333335,3030.3333333333335,2864.6666666666665,2550.0,2657.0,2632.3333333333335,2657.6666666666665,2516.6666666666665,2582.3333333333335,2656.6666666666665,2678.0,2645.6666666666665,2727.3333333333335,2548.0,2502.3333333333335,2376.0,2251.6666666666665,2298.0,2199.3333333333335
41,10012,1.0,3111.0,3150.0,3227.6666666666665,3236.0,3480.0,3417.0,3356.6666666666665,3398.3333333333335,3249.3333333333335,3337.6666666666665,3736.0,3580.3333333333335,3393.6666666666665,3439.0,3471.6666666666665,3605.0,3475.0,3375.0,3481.6666666666665,3470.0,3674.3333333333335,3497.6666666666665,3424.3333333333335,3293.3333333333335,3163.3333333333335,3161.6666666666665,3083.0,2999.3333333333335,2833.3333333333335
42,10012,2.0,4458.333333333333,5056.666666666667,4942.0,5376.333333333333,5502.0,5647.0,5769.333333333333,6431.666666666667,6309.666666666667,5798.333333333333,4900.0,5565.666666666667,5516.666666666667,5616.666666666667,5752.666666666667,5624.333333333333,5846.666666666667,6250.0,6407.666666666667,6079.333333333333,6468.666666666667,6290.333333333333,5961.666666666667,4933.333333333333,4615.0,4439.333333333333,4198.333333333333,4671.666666666667,4533.333333333333
43,10012,3.0,8931.666666666666,7725.333333333333,8559.333333333334,10664.333333333334,12185.0,13611.0,11000.0,10916.666666666666,13396.0,12627.333333333334,10848.666666666666,10316.666666666666,10431.666666666666,9533.333333333334,9814.333333333334,10831.0,10997.666666666666,13748.333333333334,12990.0,12474.333333333334,12298.333333333334,10574.333333333334,9716.0,7930.0,7343.0,7266.0,6470.0,6581.666666666667,6765.666666666667
44,10013,0.0,2935.0,2851.5,3142.5,3195.5,3118.0,3160.0,2900.0,2965.0,2800.0,2877.5,3095.0,3411.5,3453.0,3072.5,3211.5,3237.0,3237.5,3162.5,3033.5,2910.0,2834.5,2856.5,2928.5,2982.0,2897.5,2784.0,2550.0,2710.0,2524.0
45,10013,1.0,3571.5,3475.0,3541.5,3629.0,3747.5,3624.0,3622.5,3599.0,3544.0,3610.0,4122.5,3985.0,3822.5,3940.0,3959.0,4105.0,3742.5,3796.5,3925.0,3862.5,4212.5,3745.5,3785.0,3840.0,3795.0,3695.0,3620.0,3624.0,3375.0
46,10013,2.0,5647.5,5722.5,5716.5,5552.0,5629.0,6075.5,5941.0,5775.0,5662.5,5650.0,5612.5,5167.5,5250.0,5500.0,5450.0,5575.0,5852.5,5612.5,6424.0,6550.0,6550.0,5965.0,5807.5,5837.5,5800.0,5422.5,5372.5,5257.0,5347.5
47,10013,3.0,9822.5,9638.0,10325.5,9472.5,9923.5,10169.0,10000.0,9872.0,10091.0,9878.5,9736.5,9912.5,11150.0,12037.5,12052.5,11747.5,12129.0,12015.5,12149.5,11742.0,11560.0,11479.5,11129.0,10522.5,10481.5,9896.5,9408.5,9500.0,9811.0
48,10014,0.0,2795.0,2750.0,2885.0,2800.0,2798.0,2895.0,2873.0,3000.0,3000.0,2995.0,2995.0,2975.0,3150.0,3000.0,2895.0,3000.0,2973.0,2900.0,2995.0,3100.0,3100.0,3000.0,2998.0,2798.0,2666.0,2600.0,2500.0,2500.0,2500.0
49,10014,1.0,3795.0,3795.0,3850.0,3850.0,3750.0,3882.0,3750.0,3795.0,3700.0,3698.0,3725.0,3800.0,3898.0,3995.0,3895.0,3885.0,3859.0,3850.0,3995.0,4025.0,4000.0,4100.0,4029.0,3598.0,3495.0,3495.0,3350.0,3252.0,3200.0
50,10014,2.0,4595.0,4395.0,4495.0,4600.0,4648.0,4795.0,5300.0,5145.0,4650.0,4623.0,4500.0,4500.0,4795.0,4698.0,4698.0,4875.0,4900.0,5400.0,5873.0,5873.0,5273.0,5285.0,5000.0,4307.0,4359.0,4243.0,4034.0,4000.0,3795.0
51,10014,3.0,6500.0,6473.0,6948.0,7500.0,8098.0,13000.0,13500.0,11000.0,8998.0,8848.0,8725.0,7875.0,7100.0,7795.0,7900.0,9400.0,9998.0,13875.0,13125.0,12500.0,13000.0,9450.0,7850.0,6625.0,6625.0,6500.0,6000.0,6500.0,6500.0
52,10016,0.0,2450.0,2495.0,2495.0,2450.0,2450.0,2450.0,2495.0,2450.0,2500.0,2450.0,2500.0,2550.0,2584.0,2550.0,2550.0,2500.0,2500.0,2538.0,2500.0,2500.0,2500.0,2500.0,2500.0,2475.0,2350.0,2250.0,2177.0,2100.0,2000.0
53,10016,1.0,3319.0,3330.0,3350.0,3395.0,3369.0,3395.0,3415.0,3395.0,3400.0,3483.0,3500.0,3495.0,3493.0,3500.0,3500.0,3499.0,3483.0,3499.0,3470.0,3500.0,3500.0,3500.0,3395.0,3208.0,3100.0,3000.0,2917.0,2871.0,2800.0
54,10016,2.0,4400.0,4250.0,4258.0,4195.0,4200.0,4237.0,4300.0,4315.0,4300.0,4114.0,4107.0,4062.0,4000.0,4200.0,4500.0,4495.0,4500.0,4550.0,4645.0,4575.0,4500.0,4558.0,4480.0,4015.0,3700.0,3600.0,3495.0,3500.0,3495.0
55,10016,3.0,5900.0,5875.0,5790.0,5925.0,5789.0,6000.0,6335.0,6444.0,6814.0,6496.0,6495.0,6150.0,6249.0,6400.0,6283.0,6600.0,6600.0,6600.0,6997.0,6650.0,6925.0,6973.0,6000.0,5524.0,5500.0,5050.0,4750.0,4700.0,4533.0
56,10017,0.0,2450.0,2495.0,2495.0,2450.0,2450.0,2450.0,2495.0,2450.0,2500.0,2450.0,2500.0,2550.0,2584.0,2550.0,2550.0,2500.0,2500.0,2538.0,2500.0,2500.0,2500.0,2500.0,2500.0,2475.0,2350.0,2250.0,2177.0,2100.0,2000.0
57,10017,1.0,3319.0,3330.0,3350.0,3395.0,3369.0,3395.0,3415.0,3395.0,3400.0,3483.0,3500.0,3495.0,3493.0,3500.0,3500.0,3499.0,3483.0,3499.0,3470.0,3500.0,3500.0,3500.0,3395.0,3208.0,3100.0,3000.0,2917.0,2871.0,2800.0
58,10017,2.0,4400.0,4250.0,4258.0,4195.0,4200.0,4237.0,4300.0,4315.0,4300.0,4114.0,4107.0,4062.0,4000.0,4200.0,4500.0,4495.0,4500.0,4550.0,4645.0,4575.0,4500.0,4558.0,4480.0,4015.0,3700.0,3600.0,3495.0,3500.0,3495.0
59,10017,3.0,5900.0,5875.0,5790.0,5925.0,5789.0,6000.0,6335.0,6444.0,6814.0,6496.0,6495.0,6150.0,6249.0,6400.0,6283.0,6600.0,6600.0,6600.0,6997.0,6650.0,6925.0,6973.0,6000.0,5524.0,5500.0,5050.0,4750.0,4700.0,4533.0
60,10018,0.0,2690.0,2690.0,2700.0,2650.0,2695.0,2700.0,2798.0,2741.0,2823.0,2857.0,2850.0,2801.0,2890.0,2890.0,2875.0,2892.0,2850.0,2795.0,2860.0,2845.0,2848.0,2844.0,2758.0,2633.0,2512.0,2396.0,2300.0,2250.0,2250.0
61,10018,1.0,3440.0,3400.0,3450.0,3495.0,3432.0,3407.0,3500.0,3429.0,3500.0,3531.0,3553.0,3600.0,3622.0,3650.0,3674.0,3620.0,3646.0,3600.0,3596.0,3566.0,3598.0,3593.0,3458.0,3306.0,3167.0,3000.0,2924.0,2850.0,2916.0
62,10018,2.0,4400.0,4200.0,4550.0,4745.0,4800.0,4850.0,4811.0,5000.0,5000.0,4798.0,4500.0,4700.0,4570.0,4500.0,4699.0,4838.0,5000.0,5000.0,5150.0,5123.0,5139.0,5100.0,4998.0,4625.0,4246.0,3995.0,3800.0,3700.0,3800.0
63,10018,3.0,5500.0,5500.0,5500.0,5497.0,5400.0,5133.0,5165.0,5348.0,5200.0,4998.0,5046.0,5130.0,5163.0,5400.0,5498.0,5338.0,5350.0,5299.0,5363.0,5350.0,5498.0,5500.0,5300.0,4295.0,4532.0,4500.0,4125.0,4000.0,3991.0
64,10019,0.0,2295.0,2300.0,2295.0,2200.0,2200.0,2250.0,2300.0,2300.0,2350.0,2398.0,2350.0,2300.0,2300.0,2300.0,2300.0,2350.0,2350.0,2450.0,2450.0,2475.0,2450.0,2390.0,2294.0,2217.0,2195.0,2100.0,2026.0,1995.0,1950.0
65,10019,1.0,4475.0,4874.0,4900.0,5025.0,4950.0,4946.5,5075.0,4992.5,4850.0,4601.5,4674.5,4410.0,4512.5,4500.0,4400.0,4437.5,4572.5,4878.0,4928.5,4950.0,4921.0,4682.5,4410.5,4300.0,4175.0,3963.5,3975.0,4043.0,4153.5
66,10019,2.0,6600.0,6950.0,7237.5,7289.5,7362.5,7650.0,7950.0,7331.0,7351.0,7213.5,6797.5,6633.0,6497.5,6863.5,7550.0,7916.0,8299.0,7718.5,7684.0,8223.0,8399.0,8197.5,8274.0,8000.0,7964.5,6650.0,6562.0,6522.5,6796.0
67,10019,3.0,6963.0,6000.0,6800.0,7000.0,7000.0,7950.0,7995.0,8095.0,7682.0,6962.0,6785.0,7048.0,6850.0,6400.0,6409.0,6500.0,7333.0,7950.0,8575.0,8760.0,8448.0,8000.0,7285.0,6925.0,6559.0,6600.0,6050.0,6000.0,6000.0
68,10021,0.0,2050.0,2050.0,2099.0,2100.0,2130.0,2104.0,2150.0,2100.0,2150.0,2150.0,2150.0,2175.0,2150.0,2108.0,2150.0,2150.0,2150.0,2195.0,2250.0,2250.0,2225.0,2245.0,2228.0,2150.0,2062.0,1995.0,1950.0,1900.0,1890.0
69,10021,1.0,2800.0,2795.0,2775.0,2795.0,2850.0,2900.0,2950.0,2950.0,2995.0,2925.0,2850.0,2850.0,2950.0,2895.0,2795.0,2800.0,2900.0,3000.0,3098.0,3150.0,3150.0,3150.0,3000.0,2931.0,2840.0,2700.0,2550.0,2510.0,2500.0
70,10021,2.0,3400.0,3497.0,3495.0,3600.0,3500.0,3625.0,3850.0,3950.0,3900.0,3800.0,3685.0,3450.0,3495.0,3600.0,3618.0,4000.0,4597.0,4995.0,5000.0,4902.0,4800.0,4700.0,4600.0,3900.0,3500.0,3500.0,3400.0,3300.0,3100.0
71,10021,3.0,7375.0,6800.0,6998.0,7995.0,8000.0,8498.0,8995.0,8995.0,8800.0,8995.0,8333.0,8545.0,8000.0,7000.0,7800.0,8948.0,9225.0,9500.0,9898.0,9500.0,11500.0,12500.0,10000.0,8000.0,7200.0,7000.0,6500.0,6500.0,6500.0
72,10022,0.0,2450.0,2495.0,2495.0,2450.0,2450.0,2450.0,2495.0,2450.0,2500.0,2450.0,2500.0,2550.0,2584.0,2550.0,2550.0,2500.0,2500.0,2538.0,2500.0,2500.0,2500.0,2500.0,2500.0,2475.0,2350.0,2250.0,2177.0,2100.0,2000.0
73,10022,1.0,3319.0,3330.0,3350.0,3395.0,3369.0,3395.0,3415.0,3395.0,3400.0,3483.0,3500.0,3495.0,3493.0,3500.0,3500.0,3499.0,3483.0,3499.0,3470.0,3500.0,3500.0,3500.0,3395.0,3208.0,3100.0,3000.0,2917.0,2871.0,2800.0
74,10022,2.0,4400.0,4250.0,4258.0,4195.0,4200.0,4237.0,4300.0,4315.0,4300.0,4114.0,4107.0,4062.0,4000.0,4200.0,4500.0,4495.0,4500.0,4550.0,4645.0,4575.0,4500.0,4558.0,4480.0,4015.0,3700.0,3600.0,3495.0,3500.0,3495.0
75,10022,3.0,5900.0,5875.0,5790.0,5925.0,5789.0,6000.0,6335.0,6444.0,6814.0,6496.0,6495.0,6150.0,6249.0,6400.0,6283.0,6600.0,6600.0,6600.0,6997.0,6650.0,6925.0,6973.0,6000.0,5524.0,5500.0,5050.0,4750.0,4700.0,4533.0
76,10023,0.0,2295.0,2300.0,2295.0,2200.0,2200.0,2250.0,2300.0,2300.0,2350.0,2398.0,2350.0,2300.0,2300.0,2300.0,2300.0,2350.0,2350.0,2450.0,2450.0,2475.0,2450.0,2390.0,2294.0,2217.0,2195.0,2100.0,2026.0,1995.0,1950.0
77,10023,1.0,3100.0,3050.0,3050.0,3100.0,3150.0,3093.0,3150.0,3235.0,3200.0,3203.0,3349.0,3220.0,3275.0,3200.0,3300.0,3375.0,3395.0,3400.0,3395.0,3400.0,3380.0,3365.0,3221.0,3100.0,3000.0,2927.0,2800.0,2757.0,2695.0
78,10023,2.0,4500.0,4400.0,4500.0,4579.0,4750.0,4600.0,4500.0,4662.0,4625.0,4350.0,4300.0,4400.0,4095.0,4200.0,4600.0,4682.0,4700.0,4937.0,4868.0,4946.0,4800.0,4745.0,4800.0,4500.0,4429.0,4300.0,4032.0,3999.0,3900.0
79,10023,3.0,6963.0,6000.0,6800.0,7000.0,7000.0,7950.0,7995.0,8095.0,7682.0,6962.0,6785.0,7048.0,6850.0,6400.0,6409.0,6500.0,7333.0,7950.0,8575.0,8760.0,8448.0,8000.0,7285.0,6925.0,6559.0,6600.0,6050.0,6000.0,6000.0
80,10024,0.0,2295.0,2300.0,2295.0,2200.0,2200.0,2250.0,2300.0,2300.0,2350.0,2398.0,2350.0,2300.0,2300.0,2300.0,2300.0,2350.0,2350.0,2450.0,2450.0,2475.0,2450.0,2390.0,2294.0,2217.0,2195.0,2100.0,2026.0,1995.0,1950.0
81,10024,1.0,3100.0,3050.0,3050.0,3100.0,3150.0,3093.0,3150.0,3235.0,3200.0,3203.0,3349.0,3220.0,3275.0,3200.0,3300.0,3375.0,3395.0,3400.0,3395.0,3400.0,3380.0,3365.0,3221.0,3100.0,3000.0,2927.0,2800.0,2757.0,2695.0
82,10024,2.0,4500.0,4400.0,4500.0,4579.0,4750.0,4600.0,4500.0,4662.0,4625.0,4350.0,4300.0,4400.0,4095.0,4200.0,4600.0,4682.0,4700.0,4937.0,4868.0,4946.0,4800.0,4745.0,4800.0,4500.0,4429.0,4300.0,4032.0,3999.0,3900.0
